OID_,uRCA_int,picgla_PCT_MEAN,picmar_PCT_MEAN,rhoshr_PCT_MEAN,salshr_PCT_MEAN,sphagn_PCT_MEAN,vaculi_PCT_MEAN,vacvit_PCT_MEAN,alnus_PCT_MEAN,betshr_PCT_MEAN,bettre_PCT_MEAN,dectre_PCT_MEAN,dryas_PCT_MEAN,empnig_PCT_MEAN,erivag_PCT_MEAN
1,1,1.774339312611256,6.749965767492811,13.240175270436806,15.782349719293441,13.122346980692866,11.838764891140627,2.734766534300972,3.361358345885253,18.182116938244562,0.828495138983979,1.656784882924826,0.388881281665069,3.337190195809941,13.657880323154869
2,2,15.650861502614728,11.201557449566840,12.945839647515353,18.446325803032561,4.835294014593425,9.545545326337365,6.500775220959873,11.928329289336990,13.296800133145297,15.182374015644571,16.419661705836493,3.309483974387050,5.001086185299708,5.900438853899318
3,3,8.515966386554622,7.302521008403361,12.998319327731092,24.867226890756303,3.677310924369748,11.028571428571428,5.078991596638655,7.771428571428571,13.610084033613443,8.005042016806723,9.699159663865546,0.393277310924370,4.600000000000000,5.129411764705883
4,4,5.953940854892170,13.441780379665104,13.558607033704964,19.528259653049805,10.689595798717232,9.161981834617537,5.973871120485558,5.190822607722440,14.770694330851018,4.652274977400887,5.707890318970342,0.609616460763635,6.420989195471568,12.241100253970988
5,5,3.231003039513678,5.703647416413374,12.314209726443767,19.846884498480243,7.760638297872340,8.840805471124620,1.669072948328268,3.306990881458967,12.665273556231003,1.968465045592705,3.664893617021276,1.261398176291793,2.425911854103343,9.546352583586629
6,6,12.038111063464838,9.526801029159520,12.812392795883362,19.047384219554029,6.129716981132075,9.050921955403089,5.238100343053174,5.332011149228131,14.480488850771870,4.364065180102916,5.765008576329331,1.598842195540309,4.127894511149228,12.380038593481990
7,7,5.501778640148759,11.933098876222816,14.482294445791901,16.815587355485487,11.487751637157409,10.676368340205352,6.243512005821004,4.966933462688981,18.321165817770236,2.221723663998707,2.774719055703776,0.697631174710971,6.709232759317649,14.456261621796427
8,8,18.102185792349729,16.373072252580450,14.774013357619914,17.416241651487553,3.129265330904675,9.960503946569521,6.434244080145720,6.864632665452338,17.522768670309652,7.068427443837280,8.062082574377657,2.622434729811779,4.100182149362477,10.377140255009108
9,9,16.416440796589679,11.366876630400204,13.479200865305083,18.747356365718648,4.254017942355412,8.353197175033403,7.140281224152192,10.632588916459884,14.375962333778713,16.707361455748554,19.518254119742952,2.315314627473436,4.751695616211745,6.554037029967551
10,10,17.778564206268957,11.981884057971014,13.687141894169194,16.211071789686553,8.781934614088305,8.171216717222784,5.940343781597574,6.842180653859117,14.086198179979778,7.864930906639703,8.017778901247050,2.343781597573306,3.898045163464779,8.560751600943714
