OID_,Join_Count,TARGET_FID,ID,DOWN_ID,CHAN_ID,LENGTH_M,AREA_SQKM,ELEV_M,OUT_DIST,SRC_DIST,FROM_DIST,GRADIENT,MNANPRC_M,MEANANNCMS,WIDTH_M,DEPTH_M,MAX_GRAD_D,LAKE,STRM_ORDER,AZIMTH_DEG,SINUOSITY,VAL_WIDTH,FP_WIDTH,DROPMAX,Fish,Basin_ID,VWI_Floor,ValCnstrnt,FlowVel,BFQ,StrmPow,BeavHab,FISH_RESID,GEP_Cum,GEP,IP_CHIN2,CCon,MERGE_SRC,uID,Join_Count_1,TARGET_FID_1,Join_Cou_1,TARGET_F_1,Dam_Type,Dam_Condit,Notes,Beaver_cre,Dam_Num,Surveyor,Dam_Cond_1,Beaver_C_1,OBJECTID_1,Shape_Leng,Area_m2,Notes_1,Length_m_1,Width_m_1,Dam_Num_1,Surveyor_1,TNMID,MetaSource,SourceData,SourceOrig,SourceFeat,LoadDate,GNIS_ID,AreaAcres,AreaSqKm,States,HUC12,Name,HUType,HUMod,ToHUC,NonContrib,NonContr_1,Shape_Le_1,Surveyed,Shape_Le_2,RECORDNUMB,ACRES,AFSNUMBER,DOFNUMBER,USFSNUMBER,ADDNUMBER,PERIMETERD,LATESTPERI,SOURCE,SOURCEMETH,SOURCECLAS,AGENCYACRE,ACREAGEMET,COMMENTS,FIREID,FIREYEAR,UPDATETIME,UPDATEUSER,USEDONFINA,FPOUTDATE,FPMERGEDDA,IRWINID,PRESCRIBED,FIRESEASON,Year,Years,Shape_Le_3,Z,Shape_Length
1,,,1.000000000000000,0.000000000000000,1.000000000000000,111.568500000000000,3726.330300000000079,92.400000000000006,0.000000000000000,302.369090000000028,0.000000000000000,0.000000000000000,0.403000000000000,24.650700000000001,19.129700000000000,0.340800000000000,0.000000000000000,0.000000000000000,6.000000000000000,345.3599854,1.429700000000000,247.280200000000008,943.339399999999955,0.000000000000000,1,-9999,12.9300003,49.313000000000002,0.5062000,3.300000000000000,0.000000000000000,1,1,0.169500000000000,0.009500000000000,0.892500000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.524801266660916
2,,,2.000000000000000,1.000000000000000,1.000000000000000,107.426400000000001,3726.304200000000037,92.400000000000006,0.108830000000000,302.260260000000017,0.108830000000000,0.000000000000000,0.403000000000000,24.650500000000001,19.129600000000000,0.340800000000000,0.000000000000000,0.000000000000000,6.000000000000000,344.7699890,1.429700000000000,251.301199999999994,943.339399999999955,0.000000000000000,1,5090905,13.1400003,49.313000000000002,0.5062000,3.300000000000000,0.000000000000000,1,1,0.169500000000000,0.010300000000000,0.892500000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.172172859564228
3,,,3.000000000000000,2.000000000000000,1.000000000000000,98.994900000000001,3726.262700000000223,92.400000000000006,0.211080000000000,302.158009999999990,0.211080000000000,0.000000000000000,0.403000000000000,24.650400000000001,19.129600000000000,0.340800000000000,0.000000000000000,0.000000000000000,6.000000000000000,315.2500000,1.432200000000000,292.992799999999988,943.339500000000044,0.000000000000000,1,5090905,15.3199997,49.313000000000002,0.5062000,3.300000000000000,0.000000000000000,1,1,0.169500000000000,0.019100000000000,0.892500000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.571665686427608
4,,,4.000000000000000,3.000000000000000,1.000000000000000,103.639600000000002,3726.251200000000154,92.400000000000006,0.309340000000000,302.059750000000008,0.309340000000000,0.000000000000000,0.403000000000000,24.650400000000001,19.129600000000000,0.340800000000000,0.000000000000000,0.000000000000000,6.000000000000000,334.1900024,1.529400000000000,286.630999999999972,943.339600000000019,0.000000000000000,1,5090905,14.9799995,49.313000000000002,0.5062000,3.300000000000000,0.000000000000000,1,1,0.169500000000000,0.013000000000000,0.892500000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.727821842324602
5,,,5.000000000000000,4.000000000000000,1.000000000000000,106.568500000000000,3726.234399999999823,92.400000000000006,0.408690000000000,301.960399999999993,0.408690000000000,0.000000000000000,0.403000000000000,24.650200000000002,19.129500000000000,0.340800000000000,0.000000000000000,0.000000000000000,6.000000000000000,65.4400024,1.551700000000000,294.958000000000027,943.339399999999955,0.000000000000000,1,5090905,15.4200001,49.313000000000002,0.5062000,3.300000000000000,0.000000000000000,1,1,0.169500000000000,0.006400000000000,0.892500000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.943207503396891
6,,,6.000000000000000,5.000000000000000,1.000000000000000,107.426400000000001,3726.186999999999898,92.400000000000006,0.505960000000000,301.863130000000012,0.505960000000000,0.000300000000000,0.403000000000000,24.649999999999999,19.129400000000000,0.340800000000000,0.000300000000000,0.000000000000000,6.000000000000000,78.9899979,1.431500000000000,260.755899999999997,951.372899999999959,0.000000000000000,1,5090905,13.6300001,49.732999999999997,0.2772000,1.807000000000000,5.313000000000000,1,1,0.169500000000000,0.010100000000000,0.896600000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.725078992452680
7,,,7.000000000000000,6.000000000000000,1.000000000000000,110.710700000000003,3726.155999999999949,92.400000000000006,0.603820000000000,301.765269999999987,0.603820000000000,0.000000000000000,0.403000000000000,24.649899999999999,19.129400000000000,0.340800000000000,0.000300000000000,0.000000000000000,6.000000000000000,60.8899994,1.452000000000000,187.755899999999997,1054.067999999999984,0.000000000000000,1,5090905,9.8199997,55.101999999999997,0.5062000,3.300000000000000,0.000000000000000,1,1,0.169500000000000,0.021500000000000,0.892500000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT7,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.929058835849077
8,,,8.000000000000000,7.000000000000000,1.000000000000000,100.355300000000000,3726.143799999999828,92.400000000000006,0.707430000000000,301.661659999999983,0.707430000000000,0.000000000000000,0.403000000000000,24.649799999999999,19.129300000000001,0.340800000000000,0.000300000000000,0.000000000000000,6.000000000000000,17.0599995,1.783700000000000,542.126499999999965,1192.091300000000047,0.000000000000000,1,5090905,28.3400002,62.317000000000000,0.5062000,3.300000000000000,0.000000000000000,1,1,0.169500000000000,0.018600000000000,0.892600000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT8,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.695149700659456
9,,,9.000000000000000,8.000000000000000,1.000000000000000,102.781700000000001,3726.115499999999884,92.400000000000006,0.804440000000000,301.564639999999997,0.804440000000000,0.000000000000000,0.403000000000000,24.649699999999999,19.129300000000001,0.340800000000000,0.000300000000000,0.000000000000000,6.000000000000000,325.2500000,1.790000000000000,1393.955099999999902,1355.386199999999917,0.000000000000000,1,5090905,72.8700027,70.853999999999999,0.5062000,3.300000000000000,0.000000000000000,1,1,0.169500000000000,0.022400000000000,0.892600000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT9,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.713453783442304
10,,,10.000000000000000,9.000000000000000,1.000000000000000,104.852800000000002,3726.100600000000213,92.400000000000006,0.904070000000000,301.465010000000007,0.904070000000000,0.000000000000000,0.403000000000000,24.649600000000000,19.129300000000001,0.340700000000000,0.000300000000000,0.000000000000000,6.000000000000000,306.1300049,1.441400000000000,2261.664800000000014,1404.793899999999894,0.000000000000000,1,5090905,118.2300034,73.436999999999998,0.5061000,3.298000000000000,0.000000000000000,1,1,0.169500000000000,0.012100000000000,0.892700000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT10,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.748323514741926
