HUC12,uID
190803060606,chen1146
190803060606,chen1145
190803060606,chen1147
190803060606,chen1148
190803060606,chen1144
190803060606,chen1150
190803060606,chen1149
190803060606,chen1143
190803060606,chen1151
190803060606,chen1142
190803060606,chen1152
190803060606,chen1141
190803060606,chen1153
190803060606,chen1154
190803060606,chen1155
190803060606,chen1156
190803060606,chen1157
190803060606,chen1158
190803060606,chen1159
190803060606,chen1160
190803060606,chen1161
190803060606,chen1162
190803060606,chen1163
190803060606,chen1164
190803060606,chen1165
190803060606,chen1166
190803060606,chen1167
190803060606,chen1168
190803060606,chen1175
190803060606,chen1176
190803060606,chen1174
190803060606,chen1169
190803060606,chen1173
190803060606,chen1177
190803060606,chen1178
190803060606,chen1172
190803060606,chen1171
190803060606,chen1170
190803060606,chen1179
190803060606,chen1180
190803060606,chen1181
190803060606,chen1182
190803060606,chen1183
190803060606,chen1184
190803060606,chen37703
190803060606,chen1185
190803060606,chen36900
190803060606,chen1186
190803060606,chen36899
190803060606,chen1187
190803060606,chen36898
190803060606,chen36897
190803060606,chen1188
190803060606,chen1191
190803060606,chen1190
190803060606,chen1192
190803060606,chen1189
190803060606,chen1193
190803060606,chen1194
190803060606,chen1195
190803060606,chen1196
190803060606,chen1197
190803060606,chen1198
190803060606,chen1199
190803060606,chen1200
190803060606,chen1201
190803060606,chen1203
190803060606,chen1204
190803060606,chen1205
190803060606,chen1206
190803060606,chen36359
190803060606,chen1207
190803060606,chen36358
190803060606,chen36356
190803060606,chen36357
190803060606,chen1208
190803060606,chen36355
190803060606,chen1209
190803060606,chen1218
190803060606,chen1217
190803060606,chen1219
190803060606,chen36354
190803060606,chen1220
190803060606,chen1210
190803060606,chen1216
190803060606,chen36371
190803060606,chen1241
190803060606,chen1240
190803060606,chen1221
190803060606,chen1239
190803060606,chen36372
190803060606,chen1242
190803060606,chen36373
190803060606,chen36374
190803060606,chen36375
190803060606,chen36376
190803060606,chen1211
190803060606,chen36377
190803060606,chen36378
190803060606,chen1215
190803060606,chen36379
190803060606,chen36380
190803060606,chen1243
190803060606,chen1238
190803060606,chen36381
190803060606,chen36382
190803060606,chen1222
190803060606,chen1212
190803060606,chen36383
190803060606,chen1213
190803060606,chen1214
190803060606,chen1244
190803060606,chen1237
190803060606,chen1223
190803060606,chen1245
190803060606,chen36384
190803060606,chen1224
190803060606,chen1236
190803060606,chen1246
190803060606,chen36385
190803060606,chen1235
190803060606,chen1225
190803060606,chen1247
190803060606,chen36386
190803060606,chen1226
190803060606,chen1234
190803060606,chen36387
190803060606,chen1248
190803060606,chen36388
190803060606,chen1227
190803060606,chen1249
190803060606,chen1233
190803060606,chen1257
190803060606,chen1258
190803060606,chen1256
190803060606,chen36389
190803060606,chen1228
190803060606,chen1255
190803060606,chen1259
190803060606,chen1250
190803060606,chen1254
190803060606,chen1253
190803060606,chen36390
190803060606,chen1251
190803060606,chen1252
190803060606,chen1229
190803060606,chen1232
190803060606,chen36123
190803060606,chen1260
190803060606,chen1230
190803060606,chen1231
190803060606,chen36391
190803060606,chen36124
190803060606,chen1261
190803060606,chen1262
190803060606,chen36125
190803060606,chen36392
190803060606,chen1263
190803060606,chen1264
190803060606,chen1265
190803060606,chen36126
190803060606,chen36393
190803060606,chen1266
190803060606,chen36394
190803060606,chen36127
190803060606,chen1274
190803060606,chen1275
190803060606,chen1276
190803060606,chen1273
190803060606,chen1277
190803060606,chen36395
190803060606,chen36128
190803060606,chen1267
190803060606,chen1272
190803060606,chen1295
190803060606,chen1294
190803060606,chen36396
190803060606,chen1278
190803060606,chen1271
190803060606,chen1296
190803060606,chen36129
190803060606,chen1268
190803060606,chen1293
190803060606,chen1270
190803060606,chen1269
190803060606,chen36130
190803060606,chen1279
190803060606,chen1297
190803060606,chen36397
190803060606,chen1292
190803060606,chen1280
190803060606,chen36131
190803060606,chen36398
190803060606,chen1298
190803060606,chen1281
190803060606,chen1283
190803060606,chen1291
190803060606,chen1282
190803060606,chen36132
190803060606,chen1299
190803060606,chen1284
190803060606,chen36399
190803060606,chen1290
190803060606,chen1285
190803060606,chen36133
190803060606,chen1300
190803060606,chen1286
190803060606,chen1289
190803060606,chen36400
190803060606,chen1288
190803060606,chen1287
190803060606,chen1301
190803060606,chen36134
190803060606,chen36401
190803060606,chen36135
190803060606,chen36402
190803060606,chen36136
190803060606,chen36403
190803060606,chen27978
190803060606,chen36137
190803060606,chen36404
190803060606,chen27977
190803060606,chen1307
190803060606,chen36138
190803060606,chen36405
190803060606,chen1308
190803060606,chen27976
190803060606,chen36139
190803060606,chen36406
190803060606,chen1309
190803060606,chen27975
190803060606,chen36140
190803060606,chen36141
190803060606,chen1311
190803060606,chen1312
190803060606,chen1310
190803060606,chen36142
190803060606,chen36407
190803060606,chen27974
190803060606,chen1313
190803060606,chen36143
190803060606,chen36408
190803060606,chen27973
190803060606,chen1314
190803060606,chen1326
190803060606,chen36144
190803060606,chen1327
190803060606,chen36409
190803060606,chen1325
190803060606,chen27972
190803060606,chen1315
190803060606,chen1328
190803060606,chen36145
190803060606,chen36410
190803060606,chen1324
190803060606,chen1329
190803060606,chen27971
190803060606,chen1316
190803060606,chen36411
190803060606,chen36146
190803060606,chen27970
190803060606,chen36412
190803060606,chen1317
190803060606,chen1323
190803060606,chen1330
190803060606,chen1320
190803060606,chen1319
190803060606,chen36147
190803060606,chen1321
190803060606,chen1318
190803060606,chen1322
190803060606,chen1331
190803060606,chen27969
190803060606,chen28040
190803060606,chen36148
190803060606,chen1332
190803060606,chen27968
190803060606,chen27963
190803060606,chen28041
190803060606,chen1333
190803060606,chen1334
190803060606,chen1335
190803060606,chen36149
190803060606,chen27964
190803060606,chen27962
190803060606,chen27967
190803060606,chen1336
190803060606,chen28042
190803060606,chen27965
190803060606,chen27966
190803060606,chen36150
190803060606,chen27961
190803060606,chen1337
190803060606,chen28043
190803060606,chen36151
190803060606,chen27960
190803060606,chen27959
190803060606,chen27958
190803060606,chen27957
190803060606,chen28044
190803060606,chen36152
190803060606,chen1338
190803060606,chen27956
190803060606,chen28045
190803060606,chen1339
190803060606,chen36153
190803060606,chen27955
190803060606,chen27912
190803060606,chen27911
190803060606,chen1340
190803060606,chen28046
190803060606,chen27916
190803060606,chen27915
190803060606,chen27910
190803060606,chen27913
190803060606,chen27914
190803060606,chen36154
190803060606,chen27917
190803060606,chen1352
190803060606,chen27954
190803060606,chen1341
190803060606,chen1353
190803060606,chen1351
190803060606,chen28047
190803060606,chen1350
190803060606,chen36155
190803060606,chen1342
190803060606,chen1354
190803060606,chen28048
190803060606,chen1349
190803060606,chen36156
190803060606,chen1343
190803060606,chen28049
190803060606,chen1395
190803060606,chen1394
190803060606,chen1355
190803060606,chen1348
190803060606,chen28050
190803060606,chen1344
190803060606,chen1396
190803060606,chen36157
190803060606,chen1393
190803060606,chen1356
190803060606,chen1417
190803060606,chen1381
190803060606,chen1347
190803060606,chen1345
190803060606,chen1382
190803060606,chen1416
190803060606,chen1397
190803060606,chen28051
190803060606,chen1380
190803060606,chen1346
190803060606,chen36158
190803060606,chen1398
190803060606,chen1418
190803060606,chen1383
190803060606,chen1430
190803060606,chen1392
190803060606,chen1357
190803060606,chen1379
190803060606,chen1399
190803060606,chen1378
190803060606,chen1375
190803060606,chen28056
190803060606,chen28052
190803060606,chen1429
190803060606,chen1377
190803060606,chen1415
190803060606,chen1431
190803060606,chen1358
190803060606,chen1374
190803060606,chen1376
190803060606,chen28055
190803060606,chen1384
190803060606,chen1419
190803060606,chen1391
190803060606,chen1400
190803060606,chen1359
190803060606,chen1373
190803060606,chen36159
190803060606,chen1428
190803060606,chen28054
190803060606,chen1360
190803060606,chen1401
190803060606,chen28057
190803060606,chen1432
190803060606,chen28053
190803060606,chen1361
190803060606,chen1414
190803060606,chen1372
190803060606,chen1420
190803060606,chen1385
190803060606,chen1402
190803060606,chen1362
190803060606,chen1390
190803060606,chen1371
190803060606,chen1403
190803060606,chen36160
190803060606,chen1427
190803060606,chen1363
190803060606,chen26196
190803060606,chen1386
190803060606,chen28058
190803060606,chen1433
190803060606,chen1421
190803060606,chen1364
190803060606,chen1413
190803060606,chen1389
190803060606,chen1404
190803060606,chen26195
190803060606,chen26197
190803060606,chen1387
190803060606,chen1365
190803060606,chen1370
190803060606,chen1388
190803060606,chen1366
190803060606,chen1426
190803060606,chen36161
190803060606,chen28059
190803060606,chen1422
190803060606,chen1434
190803060606,chen1405
190803060606,chen1412
190803060606,chen1367
190803060606,chen26565
190803060606,chen26198
190803060606,chen1369
190803060606,chen1368
190803060606,chen1425
190803060606,chen1423
190803060606,chen36162
190803060606,chen28060
190803060606,chen26163
190803060606,chen26674
190803060606,chen1411
190803060606,chen1406
190803060606,chen26199
190803060606,chen1435
190803060606,chen1424
190803060606,chen26566
190803060606,chen28061
190803060606,chen26162
190803060606,chen26164
190803060606,chen26675
190803060606,chen36163
190803060606,chen26200
190803060606,chen1407
190803060606,chen1436
190803060606,chen1410
190803060606,chen28062
190803060606,chen26567
190803060606,chen26676
190803060606,chen26677
190803060606,chen26201
190803060606,chen36164
190803060606,chen1408
190803060606,chen28063
190803060606,chen1409
190803060606,chen1437
190803060606,chen26568
190803060606,chen28064
190803060606,chen26202
190803060606,chen36165
190803060606,chen1438
190803060606,chen28065
190803060606,chen28066
190803060606,chen26569
190803060606,chen26203
190803060606,chen28067
190803060606,chen36166
190803060606,chen1439
190803060606,chen26570
190803060606,chen26204
190803060606,chen36167
190803060606,chen1440
190803060606,chen26213
190803060606,chen26205
190803060606,chen26571
190803060606,chen26206
190803060606,chen26207
190803060606,chen26214
190803060606,chen26212
190803060606,chen36168
190803060606,chen26572
190803060606,chen26208
190803060606,chen26215
190803060606,chen1441
190803060606,chen26211
190803060606,chen36169
190803060606,chen26210
190803060606,chen26209
190803060606,chen26216
190803060606,chen26573
190803060606,chen1442
190803060606,chen26225
190803060606,chen26224
190803060606,chen26226
190803060606,chen26223
190803060606,chen26574
190803060606,chen26227
190803060606,chen26217
190803060606,chen36170
190803060606,chen26220
190803060606,chen26228
190803060606,chen26575
190803060606,chen26219
190803060606,chen26221
190803060606,chen26222
190803060606,chen26218
190803060606,chen36171
190803060606,chen26576
190803060606,chen26229
190803060606,chen26577
190803060606,chen26578
190803060606,chen26580
190803060606,chen26579
190803060606,chen36172
190803060606,chen26581
190803060606,chen26582
190803060606,chen26230
190803060606,chen26583
190803060606,chen26233
190803060606,chen36173
190803060606,chen26231
190803060606,chen26232
190803060606,chen26584
190803060606,chen26234
190803060606,chen36174
190803060606,chen26585
190803060606,chen26235
190803060606,chen36175
190803060606,chen26586
190803060606,chen26236
190803060606,chen36176
190803060606,chen26587
190803060606,chen26237
190803060606,chen36177
190803060606,chen26588
190803060606,chen36245
190803060606,chen26238
190803060606,chen36178
190803060606,chen26589
190803060606,chen26239
190803060606,chen26590
190803060606,chen36246
190803060606,chen26591
190803060606,chen36179
190803060606,chen26240
190803060606,chen26592
190803060606,chen36247
190803060606,chen26246
190803060606,chen36240
190803060606,chen36241
190803060606,chen36239
190803060606,chen26241
190803060606,chen36238
190803060606,chen36237
190803060606,chen36242
190803060606,chen36180
190803060606,chen36236
190803060606,chen26242
190803060606,chen26593
190803060606,chen26247
190803060606,chen26245
190803060606,chen36248
190803060606,chen36235
190803060606,chen26244
190803060606,chen36181
190803060606,chen26243
190803060606,chen26594
190803060606,chen26248
190803060606,chen36249
190803060606,chen36234
190803060606,chen36182
190803060606,chen36250
190803060606,chen26595
190803060606,chen36183
190803060606,chen26249
190803060606,chen36233
190803060606,chen36251
190803060606,chen36184
190803060606,chen36232
190803060606,chen36273
190803060606,chen26596
190803060606,chen26250
190803060606,chen36185
190803060606,chen36252
190803060606,chen36274
190803060606,chen26597
190803060606,chen36186
190803060606,chen26251
190803060606,chen36275
190803060606,chen26598
190803060606,chen36187
190803060606,chen26252
190803060606,chen36276
190803060606,chen26599
190803060606,chen36277
190803060606,chen36188
190803060606,chen26253
190803060606,chen26600
190803060606,chen36278
190803060606,chen36189
190803060606,chen26254
190803060606,chen26601
190803060606,chen36279
190803060606,chen36190
190803060606,chen26255
190803060606,chen26602
190803060606,chen36280
190803060606,chen36191
190803060606,chen26256
190803060606,chen36220
190803060606,chen26603
190803060606,chen36222
190803060606,chen36223
190803060606,chen36221
190803060606,chen26257
190803060606,chen36192
190803060606,chen36281
190803060606,chen36224
190803060606,chen36225
190803060606,chen26604
190803060606,chen36226
190803060606,chen26258
190803060606,chen36193
190803060606,chen26259
190803060606,chen26605
190803060606,chen26427
190803060606,chen36194
190803060606,chen26260
190803060606,chen26261
190803060606,chen26606
190803060606,chen36195
190803060606,chen26428
190803060606,chen26262
190803060606,chen36196
190803060606,chen26263
190803060606,chen26429
190803060606,chen26264
190803060606,chen36197
190803060606,chen26430
190803060606,chen26265
190803060606,chen36198
190803060606,chen26431
190803060606,chen26266
190803060606,chen36199
190803060606,chen26432
190803060606,chen26267
190803060606,chen36200
190803060606,chen26268
190803060606,chen26433
190803060606,chen26434
190803060606,chen26269
190803060606,chen26435
190803060606,chen26270
190803060606,chen26436
190803060606,chen26271
190803060606,chen26437
190803060606,chen26418
190803060606,chen26272
190803060606,chen26438
190803060606,chen26417
190803060606,chen26416
190803060606,chen26415
190803060606,chen26414
190803060606,chen26273
190803060606,chen26439
190803060606,chen26413
190803060606,chen26412
190803060606,chen26411
190803060606,chen26274
190803060606,chen26440
190803060606,chen26410
190803060606,chen26406
190803060606,chen26409
190803060606,chen26275
190803060606,chen26441
190803060606,chen26407
190803060606,chen26408
190803060606,chen26276
190803060606,chen26442
190803060606,chen26277
190803060606,chen26443
190803060606,chen26278
190803060606,chen26444
190803060606,chen26279
190803060606,chen26445
190803060606,chen26280
190803060606,chen26493
190803060606,chen26446
190803060606,chen26281
190803060606,chen26494
190803060606,chen26447
190803060606,chen26282
190803060606,chen26495
190803060606,chen26283
190803060606,chen26284
190803060606,chen26285
190803060606,chen26448
190803060606,chen26355
190803060606,chen26286
190803060606,chen26496
190803060606,chen26287
190803060606,chen26288
190803060606,chen26449
190803060606,chen26356
190803060606,chen26289
190803060606,chen26497
190803060606,chen26290
190803060606,chen26291
190803060606,chen26498
190803060606,chen26450
190803060606,chen26292
190803060606,chen26357
190803060606,chen26293
190803060606,chen26499
190803060606,chen26503
190803060606,chen26501
190803060606,chen26504
190803060606,chen26502
190803060606,chen26505
190803060606,chen26294
190803060606,chen26451
190803060606,chen26500
190803060606,chen26506
190803060606,chen26295
190803060606,chen26358
190803060606,chen26507
190803060606,chen26452
190803060606,chen26296
190803060606,chen26508
190803060606,chen26359
190803060606,chen26297
190803060606,chen26331
190803060606,chen26330
190803060606,chen26332
190803060606,chen26298
190803060606,chen26509
190803060606,chen26329
190803060606,chen26453
190803060606,chen26333
190803060606,chen26328
190803060606,chen26299
190803060606,chen26360
190803060606,chen26510
190803060606,chen26454
190803060606,chen26300
190803060606,chen26361
190803060606,chen26455
190803060606,chen26301
190803060606,chen26362
190803060606,chen26456
190803060606,chen26302
190803060606,chen26363
190803060606,chen26457
190803060606,chen26303
190803060606,chen26364
190803060606,chen26458
190803060606,chen26304
190803060606,chen26365
190803060606,chen26459
190803060606,chen26305
190803060606,chen26366
190803060606,chen26460
190803060606,chen26306
190803060606,chen26367
190803060606,chen26461
190803060606,chen26368
190803060606,chen26462
190803060606,chen26369
190803060606,chen26463
190803060606,chen26370
